Name,TaskType,SubTaskType,TID,DescriptionTID,IconTooltipTID,ExportName,SubTaskIcon,MinRequiredQuantity,MaxRequiredQuantity,Deprecated,MinXPLevelForSpawn,SpawnProbabilityWeightLeague1,SpawnProbabilityWeightLeague2,SpawnProbabilityWeightLeague3,SpawnProbabilityWeightLeague4,SpawnProbabilityWeightLeague5,MinEventTimeMinLeftForSpawn,TaskParam1,TaskParam2,TaskParam3,MinRewardNeighborhoodPoints,MaxRewardNeighborhoodPoints,MinTaskDurationMin,MaxTaskDurationMin,CooldownIntervalSeconds,AdminCooldownIntervalSeconds,InstantCompleteCooldown
CollectGoodEasyYogurtSmoothie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,70,4,14,6,3,0,0,YogurtSmoothie,Smoothie_Mixer,,50,90,576,864,1800,1800,5
CollectGoodEasyOliveOil,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,4,,60,4,14,6,3,0,0,OliveOil,Sauce_Mixer,,50,90,576,864,1800,1800,5
CollectGoodEasyPotato Bread,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,4,,39,4,14,6,3,0,0,Potato Bread,Bakery,,50,90,576,864,1800,1800,5
CollectGoodEasyPumpkin Pie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,18,4,14,6,3,0,0,Pumpkin Pie,Pie_Oven,,50,90,576,864,1800,1800,5
CollectGoodEasyBlue Woolly Hat,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,6,,19,4,14,6,3,0,0,Blue Woolly Hat,Loom,,50,90,324,540,1800,1800,5
CollectGoodEasySyrup,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,4,,18,4,14,6,3,0,0,Syrup,Sugar_Mill,,50,90,648,864,1800,1800,5
CollectGoodEasyToffee,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,4,,52,4,14,6,3,0,0,Toffee,Candy_Machine,,50,90,648,864,1800,1800,5
CollectGoodEasyTofu Dog,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,4,,76,4,14,6,3,0,0,Tofu Dog,Hotdog_Stand,,50,90,216,432,1800,1800,5
CollectGoodEasyTomato Juice,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,4,,32,4,14,6,3,0,0,Tomato Juice,Juice_Press,,50,90,648,864,1800,1800,5
CollectGoodEasyVanilla Ice Cream,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,29,4,14,6,3,0,0,Vanilla Ice Cream,Ice_Cream_Maker,,50,90,576,864,1800,1800,5
CollectGoodMediumApple Juice,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,7,,30,3,11,10,9,0,0,Apple Juice,Juice_Press,,120,190,1140,1596,1800,1800,5
CollectGoodMediumBacon and Eggs,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,12,,18,3,11,10,9,0,0,Bacon and Eggs,Barbecue_Grill,,120,190,1026,1368,1800,1800,5
CollectGoodMediumBaked Potato,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,9,,35,3,11,10,9,0,0,Baked Potato,Barbecue_Grill,,120,190,466,599,1800,1800,5
CollectGoodMediumBerry Cake,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,8,10,,23,3,11,10,9,0,0,Berry Cake,Cake_Oven,,120,190,912,1140,1800,1800,5
CollectGoodMediumBlackberry Muffin,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,8,11,,26,3,11,10,9,0,0,Blackberry Muffin,Bakery,,120,190,684,941,1800,1800,5
CollectGoodMediumCarrot Cake,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,9,,21,3,11,10,9,0,0,Carrot Cake,Cake_Oven,,120,190,1197,1539,1800,1800,5
CollectGoodMediumChili Popcorn,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,7,,25,3,11,10,9,0,0,Chili Popcorn,Popcorn_Pot,,120,190,1140,1596,1800,1800,5
CollectGoodMediumCotton Shirt,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,8,11,,19,3,11,10,9,0,0,Cotton Shirt,Sewing_Machine,,120,190,684,941,1800,1800,5
CollectGoodMediumFeta Pie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,6,7,,34,3,11,10,9,0,0,Feta Pie,Pie_Oven,,120,190,1026,1197,1800,1800,5
CollectGoodMediumGoat Cheese,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,9,,33,3,11,10,9,0,0,Goat Cheese,Dairy,,120,190,1197,1539,1800,1800,5
CollectGoodMediumYogurtSmoothie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,6,7,,70,3,11,10,9,0,0,YogurtSmoothie,Smoothie_Mixer,,120,190,1140,1596,1800,1800,5
CollectGoodMediumOliveOil,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,9,,60,3,11,10,9,0,0,OliveOil,Sauce_Mixer,,120,190,1254,1596,1800,1800,5
CollectGoodMediumPotato Bread,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,9,,39,3,11,10,9,0,0,Potato Bread,Bakery,,120,190,1254,1596,1800,1800,5
CollectGoodMediumPumpkin Pie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,7,,18,3,11,10,9,0,0,Pumpkin Pie,Pie_Oven,,120,190,1254,1596,1800,1800,5
CollectGoodMediumBlue Woolly Hat,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,14,,19,3,11,10,9,0,0,Blue Woolly Hat,Loom,,120,190,684,941,1800,1800,5
CollectGoodMediumSyrup,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,9,,18,3,11,10,9,0,0,Syrup,Sugar_Mill,,120,190,1197,1539,1800,1800,5
CollectGoodMediumToffee,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,9,,52,3,11,10,9,0,0,Toffee,Candy_Machine,,120,190,1197,1539,1800,1800,5
CollectGoodMediumTofu Dog,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,6,8,,76,3,11,10,9,0,0,Tofu Dog,Hotdog_Stand,,120,190,513,684,1800,1800,5
CollectGoodMediumTomato Juice,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,7,9,,32,3,11,10,9,0,0,Tomato Juice,Juice_Press,,120,190,1197,1539,1800,1800,5
CollectGoodMediumVanilla Ice Cream,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,7,,29,3,11,10,9,0,0,Vanilla Ice Cream,Ice_Cream_Maker,,120,190,1140,1596,1800,1800,5
CollectGoodHardApple Juice,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,13,,30,4,19,25,33,10,0,Apple Juice,Juice_Press,,230,320,1944,2808,1800,1800,5
CollectGoodHardBacon and Eggs,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,14,22,,18,4,19,25,33,10,0,Bacon and Eggs,Barbecue_Grill,,230,320,1512,2376,1800,1800,5
CollectGoodHardBaked Potato,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,17,,35,4,19,25,33,10,0,Baked Potato,Barbecue_Grill,,230,320,693,1071,1800,1800,5
CollectGoodHardBerry Cake,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,12,18,,23,4,19,25,33,10,0,Berry Cake,Cake_Oven,,230,320,1296,1944,1800,1800,5
CollectGoodHardBlackberry Muffin,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,13,20,,26,4,19,25,33,10,0,Blackberry Muffin,Bakery,,230,320,1053,1620,1800,1800,5
CollectGoodHardCarrot Cake,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,17,,21,4,19,25,33,10,0,Carrot Cake,Cake_Oven,,230,320,1782,2754,1800,1800,5
CollectGoodHardChili Popcorn,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,13,,25,4,19,25,33,10,0,Chili Popcorn,Popcorn_Pot,,230,320,1944,2808,1800,1800,5
CollectGoodHardCotton Shirt,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,13,20,,19,4,19,25,33,10,0,Cotton Shirt,Sewing_Machine,,230,320,1053,1620,1800,1800,5
CollectGoodHardFeta Pie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,14,,34,4,19,25,33,10,0,Feta Pie,Pie_Oven,,230,320,1458,2268,1800,1800,5
CollectGoodHardGoat Cheese,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,17,,33,4,19,25,33,10,0,Goat Cheese,Dairy,,230,320,1782,2754,1800,1800,5
CollectGoodHardYogurtSmoothie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,14,,70,4,19,25,33,10,0,YogurtSmoothie,Smoothie_Mixer,,230,320,1944,2808,1800,1800,5
CollectGoodHardOliveOil,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,17,,60,4,19,25,33,10,0,OliveOil,Sauce_Mixer,,230,320,1836,2700,1800,1800,5
CollectGoodHardPotato Bread,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,16,,39,4,19,25,33,10,0,Potato Bread,Bakery,,230,320,1836,2700,1800,1800,5
CollectGoodHardPumpkin Pie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,13,,18,4,19,25,33,10,0,Pumpkin Pie,Pie_Oven,,230,320,1836,2700,1800,1800,5
CollectGoodHardBlue Woolly Hat,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,17,25,,19,4,19,25,33,10,0,Blue Woolly Hat,Loom,,230,320,1053,1620,1800,1800,5
CollectGoodHardSyrup,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,17,,18,4,19,25,33,10,0,Syrup,Sugar_Mill,,230,320,1782,2754,1800,1800,5
CollectGoodHardToffee,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,16,,52,4,19,25,33,10,0,Toffee,Candy_Machine,,230,320,1782,2592,1800,1800,5
CollectGoodHardTofu Dog,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,14,,76,4,19,25,33,10,0,Tofu Dog,Hotdog_Stand,,230,320,729,1134,1800,1800,5
CollectGoodHardTomato Juice,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,17,,32,4,19,25,33,10,0,Tomato Juice,Juice_Press,,230,320,1782,2754,1800,1800,5
CollectGoodHardVanilla Ice Cream,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,13,,29,4,19,25,33,10,0,Vanilla Ice Cream,Ice_Cream_Maker,,230,320,1944,2808,1800,1800,5
CollectGoodEasyStrawberry Candle,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,48,4,14,6,3,0,0,Strawberry Candle,Candle_Maker,,50,90,576,864,1800,1800,5
CollectGoodEasyRaspberry Candle,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,52,4,14,6,3,0,0,Raspberry Candle,Candle_Maker,,50,90,504,756,1800,1800,5
CollectGoodEasySweater,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,18,4,14,6,3,0,0,Sweater,Loom,,50,90,576,864,1800,1800,5
CollectGoodEasyHoney Toast,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,6,,69,4,14,6,3,0,0,Honey Toast,Sandwich_Bar,,50,90,576,864,1800,1800,5
CollectGoodEasyLemon Curd,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,6,,66,4,14,6,3,0,0,Lemon Curd,Sauce_Mixer,,50,90,576,864,1800,1800,5
CollectGoodEasyGreenSmoothie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,4,,66,4,14,6,3,0,0,GreenSmoothie,Smoothie_Mixer,,50,90,576,864,1800,1800,5
CollectGoodEasySushiRoll,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,56,4,14,6,3,0,0,SushiRoll,Sushi_Bar,,50,90,288,504,1800,1800,5
CollectGoodEasyHot Chocolate,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,7,,47,4,14,6,3,0,0,Hot Chocolate,Cafe_Kiosk,,50,90,576,864,1800,1800,5
CollectGoodEasyHot Dog,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,7,,75,4,14,6,3,0,0,Hot Dog,Hotdog_Stand,,50,90,576,864,1800,1800,5
CollectGoodMediumStrawberry Candle,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,6,,48,3,11,10,9,0,0,Strawberry Candle,Candle_Maker,,120,190,1140,1368,1800,1800,5
CollectGoodMediumRaspberry Candle,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,7,,52,3,11,10,9,0,0,Raspberry Candle,Candle_Maker,,120,190,998,1397,1800,1800,5
CollectGoodMediumSweater,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,7,,18,3,11,10,9,0,0,Sweater,Loom,,120,190,1140,1596,1800,1800,5
CollectGoodMediumHoney Toast,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,14,,69,3,11,10,9,0,0,Honey Toast,Sandwich_Bar,,120,190,1254,1596,1800,1800,5
CollectGoodMediumLemon Curd,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,14,,66,3,11,10,9,0,0,Lemon Curd,Sauce_Mixer,,120,190,1254,1596,1800,1800,5
CollectGoodMediumGreenSmoothie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,6,8,,66,3,11,10,9,0,0,GreenSmoothie,Smoothie_Mixer,,120,190,1254,1596,1800,1800,5
CollectGoodMediumSushiRoll,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,5,6,,56,3,11,10,9,0,0,SushiRoll,Sushi_Bar,,120,190,627,855,1800,1800,5
CollectGoodMediumHot Chocolate,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,12,16,,47,3,11,10,9,0,0,Hot Chocolate,Cafe_Kiosk,,120,190,1254,1596,1800,1800,5
CollectGoodMediumHot Dog,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,11,15,,75,3,11,10,9,0,0,Hot Dog,Hotdog_Stand,,120,190,1254,1596,1800,1800,5
CollectGoodHardStrawberry Candle,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,11,,48,4,19,25,33,10,0,Strawberry Candle,Candle_Maker,,230,320,1944,2376,1800,1800,5
CollectGoodHardRaspberry Candle,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,12,,52,4,19,25,33,10,0,Raspberry Candle,Candle_Maker,,230,320,1701,2268,1800,1800,5
CollectGoodHardSweater,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,13,,18,4,19,25,33,10,0,Sweater,Loom,,230,320,1944,2808,1800,1800,5
CollectGoodHardHoney Toast,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,17,25,,69,4,19,25,33,10,0,Honey Toast,Sandwich_Bar,,230,320,1836,2700,1800,1800,5
CollectGoodHardLemon Curd,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,17,26,,66,4,19,25,33,10,0,Lemon Curd,Sauce_Mixer,,230,320,1836,2700,1800,1800,5
CollectGoodHardGreenSmoothie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,10,15,,66,4,19,25,33,10,0,GreenSmoothie,Smoothie_Mixer,,230,320,1836,2700,1800,1800,5
CollectGoodHardSushiRoll,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,9,12,,56,4,19,25,33,10,0,SushiRoll,Sushi_Bar,,230,320,972,1458,1800,1800,5
CollectGoodHardHot Chocolate,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,20,30,,47,4,19,25,33,10,0,Hot Chocolate,Cafe_Kiosk,,230,320,1836,2700,1800,1800,5
CollectGoodHardHot Dog,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,18,27,,75,4,19,25,33,10,0,Hot Dog,Hotdog_Stand,,230,320,1836,2700,1800,1800,5
ServeTownVisitorFrenchLadyEasy,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,derby_task_icon_french_lady,,1,2,,35,11,43,17,10,0,0,FrenchLady,,,50,90,0,0,1800,1800,5
ServeTownVisitorFrenchLadyMedium,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,derby_task_icon_french_lady,,3,5,,35,9,32,28,25,0,0,FrenchLady,,,120,190,0,0,1800,1800,5
ServeTownVisitorFrenchLadyHard,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,derby_task_icon_french_lady,,6,9,,35,12,55,80,100,28,0,FrenchLady,,,230,320,0,0,1800,1800,5
ServeTownVisitorCletusEasy,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,derby_task_icon_cletus,,1,2,,35,11,43,17,10,0,0,Cletus,,,50,90,0,0,1800,1800,5
ServeTownVisitorCletusMedium,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,derby_task_icon_cletus,,3,5,,35,9,32,28,25,0,0,Cletus,,,120,190,0,0,1800,1800,5
ServeTownVisitorCletusHard,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,derby_task_icon_cletus,,6,9,,35,12,55,80,100,28,0,Cletus,,,230,320,0,0,1800,1800,5
ServeTownVisitorSalesmanEasy,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_SPECIFIC_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_SPECIFIC_TOWNVISITOR_TASK,derby_task_icon_salesman,,1,2,,35,11,43,17,10,0,0,Salesman,,,50,90,0,0,1800,1800,5
