Name,Type,FileName,ExportName,GiftIconExportName,GoodRewards,GoodIconSlotExportName,GoodAmounts,Probabilities,GiftCardPrice,TileWidth,TileHeight,OpenSound,TitleTID,TextTID,Text2TID,Text3TID,OpenGiftMessageTID,UnlockLevel,RepUnlockLevel,WalkGiftAnim,RewardHUDExportName
,,,,,FasterCrops4_lv1,,1,1,,,,,,,,,,,,,
,,,,,FasterTom_lv1,,1,1,,,,,,,,,,,,,
,,,,,FasterBuildings1_lv1,,1,1,,,,,,,,,,,,,
,,,,,FasterBuildings2_lv1,,1,1,,,,,,,,,,,,,
,,,,,FasterBuildings3_lv1,,1,1,,,,,,,,,,,,,
,,,,,FasterBuildings4_lv1,,1,1,,,,,,,,,,,,,
,,,,,FasterTrees_lv1,,1,1,,,,,,,,,,,,,
,,,,,FasterBushes_lv1,,1,1,,,,,,,,,,,,,
,,,,,FreeTom_lv1,Prize1,1,1,,,,,,,,,,,,,
,,,,,FreeRose_lv1,,1,1,,,,,,,,,,,,,
,,,,,FreeErnest_lv1,,1,1,,,,,,,,,,,,,
,,,,,EasierBoats_lv1,Prize2,1,1,,,,,,,,,,,,,
MediumBoosterPack,Common,sc/buildings_new.sc,booster_package_gold,icon_gold_booster_box,FasterBoats_lv2,,1,3,25,1,1,TreasureBox,TID_GIFT_BOOSTER2_TITLE,TID_GIFT_S_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,35,,WalkGiftGoldBooster,post_booster_gold
,,,,,FasterCrops1_lv2,,1,3,,,,,,,,,,,,,
,,,,,FasterCrops2_lv2,,1,3,,,,,,,,,,,,,
,,,,,FasterCrops3_lv2,,1,3,,,,,,,,,,,,,
,,,,,FasterCrops4_lv2,,1,3,,,,,,,,,,,,,
,,,,,FasterTom_lv2,,1,3,,,,,,,,,,,,,
,,,,,FasterBuildings1_lv2,,1,3,,,,,,,,,,,,,
,,,,,FasterBuildings2_lv2,,1,3,,,,,,,,,,,,,
,,,,,FasterBuildings3_lv2,,1,3,,,,,,,,,,,,,
,,,,,FasterBuildings4_lv2,,1,3,,,,,,,,,,,,,
,,,,,FasterTrees_lv2,,1,3,,,,,,,,,,,,,
,,,,,FasterBushes_lv2,,1,3,,,,,,,,,,,,,
,,,,,FreeTom_lv2,,1,3,,,,,,,,,,,,,
,,,,,FreeRose_lv2,,1,3,,,,,,,,,,,,,
,,,,,FreeErnest_lv2,,1,3,,,,,,,,,,,,,
,,,,,EasierBoats_lv2,,1,3,,,,,,,,,,,,,
,,,,,FasterBoats_lv3,,1,1,,,,,,,,,,,,,
,,,,,FasterCrops1_lv3,,1,1,,,,,,,,,,,,,
,,,,,FasterCrops2_lv3,,1,1,,,,,,,,,,,,,
,,,,,FasterCrops3_lv3,,1,1,,,,,,,,,,,,,
,,,,,FasterCrops4_lv3,,1,1,,,,,,,,,,,,,
,,,,,FasterTom_lv3,Prize1,1,1,,,,,,,,,,,,,
,,,,,FasterBuildings1_lv3,,1,1,,,,,,,,,,,,,
,,,,,FasterBuildings2_lv3,,1,1,,,,,,,,,,,,,
,,,,,FasterBuildings3_lv3,,1,1,,,,,,,,,,,,,
,,,,,FasterBuildings4_lv3,,1,1,,,,,,,,,,,,,
,,,,,FasterTrees_lv3,,1,1,,,,,,,,,,,,,
,,,,,FasterBushes_lv3,,1,1,,,,,,,,,,,,,
,,,,,FreeTom_lv3,,1,1,,,,,,,,,,,,,
,,,,,FreeRose_lv3,,1,1,,,,,,,,,,,,,
,,,,,FreeErnest_lv3,,1,1,,,,,,,,,,,,,
,,,,,EasierBoats_lv3,Prize2,1,1,,,,,,,,,,,,,
