Name,FileName,ExportName,Goods,ServiceTimeMin,ServiceTimeSec,InstantCompleteService,ReputationPerService,ShopIconExportName,ShopIconFileName,EffectExportName,UnlockLevel,TileWidth,TileHeight,Price,ExpToBuild,TimeMin,TimeSec,InstantComplete,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,BuySound,RandomSounds,CollectionTool1,CollectionTool1Amount,CollectionTool2,CollectionTool2Amount,CollectionTool3,CollectionTool3Amount,ReputationLevelRequired,ServiceSlots,CoinBonus,ExpAndRepBonus,TimeBonus,CoinBonusLevelRequirement,ExpAndRepBonusLevelRequirement,TimeBonusLevelRequirement,VisitorDoorTileX,VisitorDoorTileY,ReputationUnlockLevel,VisitorRequestProbabilityBuildingUnlocked,VisitorRequestProbabilityBuildingConstructed
,,bb_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,36,Brick,36,Paint Bucket,36,37,,,,,,,,,,,,
,,bb_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,37,Brick,37,Paint Bucket,37,38,,,,,,,,,,,,
,,bb_lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spa,sc/train_buildings.sc,spa_lvl1,Corn,240,0,7,14,shop_icon_spa_lvl1,sc/train_icons.sc,repairsmoke_02,0,3,3,62000,28,2160,0,87,TID_TRAIN_SPA,TID_TRAIN_SPA_DESC,ServiceBuildingTap,ServiceBuildingTap,Collect,Buy,,Brick,1,Tar Bucket,1,Stone Block,1,2,1,0,0,0,2,3,4,3,2,9,30,100
,,spa_lvl2,Milk,,,,,,,,,,,,,,,,,,,,,,,Brick,2,Tar Bucket,2,Stone Block,2,3,2,5,5,5,,,,,,,,
,,spa_lvl2,Carrot,,,,,,,,,,,,,,,,,,,,,,,Brick,3,Tar Bucket,3,Stone Block,3,4,3,10,10,10,,,,,,,,
,,spa_lvl3,Pumpkin,,,,,,,,,,,,,,,,,,,,,,,Brick,4,Tar Bucket,4,Stone Block,4,5,4,15,15,15,,,,,,,,
,,spa_lvl3,Apple,,,,,,,,,,,,,,,,,,,,,,,Brick,5,Tar Bucket,5,Stone Block,5,6,5,20,20,20,,,,,,,,
,,spa_lvl3,Raspberry,,,,,,,,,,,,,,,,,,,,,,,Brick,6,Tar Bucket,6,Stone Block,6,7,6,25,25,25,,,,,,,,
,,spa_lvl3,Cherry,,,,,,,,,,,,,,,,,,,,,,,Brick,7,Tar Bucket,7,Stone Block,7,8,,30,30,30,,,,,,,,
,,spa_lvl3,Blackberry,,,,,,,,,,,,,,,,,,,,,,,Brick,8,Tar Bucket,8,Stone Block,8,9,,35,35,35,,,,,,,,
,,spa_lvl3,Fish Meat,,,,,,,,,,,,,,,,,,,,,,,Brick,9,Tar Bucket,9,Stone Block,9,10,,40,40,40,,,,,,,,
,,spa_lvl3,Carrot Juice,,,,,,,,,,,,,,,,,,,,,,,Brick,10,Tar Bucket,10,Stone Block,10,11,,45,45,,,,,,,,,
,,spa_lvl3,Goat Milk,,,,,,,,,,,,,,,,,,,,,,,Brick,11,Tar Bucket,11,Stone Block,11,12,,50,50,,,,,,,,,
,,spa_lvl3,Tomato Juice,,,,,,,,,,,,,,,,,,,,,,,Brick,12,Tar Bucket,12,Stone Block,12,13,,55,55,,,,,,,,,
,,spa_lvl3,Cherry Juice,,,,,,,,,,,,,,,,,,,,,,,Brick,13,Tar Bucket,13,Stone Block,13,14,,60,60,,,,,,,,,
,,spa_lvl3,Strawberry,,,,,,,,,,,,,,,,,,,,,,,Brick,14,Tar Bucket,14,Stone Block,14,15,,,,,,,,,,,,
,,spa_lvl3,Lobster Meat,,,,,,,,,,,,,,,,,,,,,,,Brick,15,Tar Bucket,15,Stone Block,15,16,,,,,,,,,,,,
,,spa_lvl3,Tomato Soup,,,,,,,,,,,,,,,,,,,,,,,Brick,16,Tar Bucket,16,Stone Block,16,17,,,,,,,,,,,,
,,spa_lvl3,Lettuce,,,,,,,,,,,,,,,,,,,,,,,Brick,17,Tar Bucket,17,Stone Block,17,18,,,,,,,,,,,,
,,spa_lvl3,GreekSalad,,,,,,,,,,,,,,,,,,,,,,,Brick,18,Tar Bucket,18,Stone Block,18,19,,,,,,,,,,,,
,,spa_lvl3,Olive,,,,,,,,,,,,,,,,,,,,,,,Brick,19,Tar Bucket,19,Stone Block,19,20,,,,,,,,,,,,
,,spa_lvl3,OliveOil,,,,,,,,,,,,,,,,,,,,,,,Brick,20,Tar Bucket,20,Stone Block,20,21,,,,,,,,,,,,
,,spa_lvl3,BaconSalad,,,,,,,,,,,,,,,,,,,,,,,Brick,21,Tar Bucket,21,Stone Block,21,22,,,,,,,,,,,,
,,spa_lvl3,SeafoodSalad,,,,,,,,,,,,,,,,,,,,,,,Brick,22,Tar Bucket,22,Stone Block,22,23,,,,,,,,,,,,
,,spa_lvl3,Lemon,,,,,,,,,,,,,,,,,,,,,,,Brick,23,Tar Bucket,23,Stone Block,23,24,,,,,,,,,,,,
,,spa_lvl3,Beeswax,,,,,,,,,,,,,,,,,,,,,,,Brick,24,Tar Bucket,24,Stone Block,24,25,,,,,,,,,,,,
,,spa_lvl3,Tofu Dog,,,,,,,,,,,,,,,,,,,,,,,Brick,25,Tar Bucket,25,Stone Block,25,26,,,,,,,,,,,,
,,spa_lvl3,Pasta Salad,,,,,,,,,,,,,,,,,,,,,,,Brick,26,Tar Bucket,26,Stone Block,26,27,,,,,,,,,,,,
,,spa_lvl3,TeaLeaves,,,,,,,,,,,,,,,,,,,,,,,Brick,27,Tar Bucket,27,Stone Block,27,28,,,,,,,,,,,,
,,spa_lvl3,Summer Salad,,,,,,,,,,,,,,,,,,,,,,,Brick,28,Tar Bucket,28,Stone Block,28,29,,,,,,,,,,,,
,,spa_lvl3,Green Tea,,,,,,,,,,,,,,,,,,,,,,,Brick,29,Tar Bucket,29,Stone Block,29,30,,,,,,,,,,,,
,,spa_lvl3,Honey Tea,,,,,,,,,,,,,,,,,,,,,,,Brick,30,Tar Bucket,30,Stone Block,30,31,,,,,,,,,,,,
,,spa_lvl3,Orange Tea,,,,,,,,,,,,,,,,,,,,,,,Brick,31,Tar Bucket,31,Stone Block,31,32,,,,,,,,,,,,
,,spa_lvl3,Ice Tea,,,,,,,,,,,,,,,,,,,,,,,Brick,32,Tar Bucket,32,Stone Block,32,33,,,,,,,,,,,,
,,spa_lvl3,Milk Tea,,,,,,,,,,,,,,,,,,,,,,,Brick,33,Tar Bucket,33,Stone Block,33,34,,,,,,,,,,,,
,,spa_lvl3,Lemon Tea,,,,,,,,,,,,,,,,,,,,,,,Brick,34,Tar Bucket,34,Stone Block,34,35,,,,,,,,,,,,
,,spa_lvl3,Orange Sorbet,,,,,,,,,,,,,,,,,,,,,,,Brick,35,Tar Bucket,35,Stone Block,35,36,,,,,,,,,,,,
,,spa_lvl3,BananaPancakes,,,,,,,,,,,,,,,,,,,,,,,Brick,36,Tar Bucket,36,Stone Block,36,37,,,,,,,,,,,,
,,spa_lvl3,Goat Cheese Toast,,,,,,,,,,,,,,,,,,,,,,,Brick,37,Tar Bucket,37,Stone Block,37,38,,,,,,,,,,,,
,,spa_lvl3,Grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach cafe,sc/train_buildings.sc,beachbar_lvl1,Carrot Juice,120,0,5,7,shop_icon_beachbar_lvl1,sc/train_icons.sc,repairsmoke_02,0,3,3,71000,32,2880,0,99,TID_TRAIN_BEACHCAFE,TID_TRAIN_BEACHCAFE_DESC,ServiceBuildingTap,ServiceBuildingTap,Collect,Buy,,Hand Drill,1,Tar Bucket,1,Hammer,1,2,1,0,0,0,2,3,4,3,2,13,30,100
,,beachbar_lvl2,Vanilla Ice Cream,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,2,Tar Bucket,2,Hammer,2,3,2,5,5,5,,,,,,,,
,,beachbar_lvl2,Roasted Tomatoes,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,3,Tar Bucket,3,Hammer,3,4,3,10,10,10,,,,,,,,
,,beachbar_lvl3,Cherry Juice,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,4,Tar Bucket,4,Hammer,4,5,4,15,15,15,,,,,,,,
,,beachbar_lvl3,Cherry Popsicle,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,5,Tar Bucket,5,Hammer,5,6,5,20,20,20,,,,,,,,
,,beachbar_lvl3,Strawberry Ice Cream,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,6,Tar Bucket,6,Hammer,6,7,6,25,25,25,,,,,,,,
,,beachbar_lvl3,Berry Juice,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,7,Tar Bucket,7,Hammer,7,8,,30,30,30,,,,,,,,
,,beachbar_lvl3,Chocolate Ice Cream,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,8,Tar Bucket,8,Hammer,8,9,,35,35,35,,,,,,,,
,,beachbar_lvl3,Fish and Chips,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,9,Tar Bucket,9,Hammer,9,10,,40,40,40,,,,,,,,
,,beachbar_lvl3,Lobster Meat,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,10,Tar Bucket,10,Hammer,10,11,,45,45,,,,,,,,,
,,beachbar_lvl3,Raspberry Mocha,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,11,Tar Bucket,11,Hammer,11,12,,50,50,,,,,,,,,
,,beachbar_lvl3,Lobster Soup,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,12,Tar Bucket,12,Hammer,12,13,,55,55,,,,,,,,,
,,beachbar_lvl3,Fish Soup,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,13,Tar Bucket,13,Hammer,13,14,,60,60,,,,,,,,,
,,beachbar_lvl3,SushiRoll,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,14,Tar Bucket,14,Hammer,14,15,,,,,,,,,,,,
,,beachbar_lvl3,GreekSalad,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,15,Tar Bucket,15,Hammer,15,16,,,,,,,,,,,,
,,beachbar_lvl3,LobsterSushi,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,16,Tar Bucket,16,Hammer,16,17,,,,,,,,,,,,
,,beachbar_lvl3,VeggieBagel,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,17,Tar Bucket,17,Hammer,17,18,,,,,,,,,,,,
,,beachbar_lvl3,BaconSalad,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,18,Tar Bucket,18,Hammer,18,19,,,,,,,,,,,,
,,beachbar_lvl3,EggRoll,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,19,Tar Bucket,19,Hammer,19,20,,,,,,,,,,,,
,,beachbar_lvl3,SeafoodSalad,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,20,Tar Bucket,20,Hammer,20,21,,,,,,,,,,,,
,,beachbar_lvl3,BLTToast,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,21,Tar Bucket,21,Hammer,21,22,,,,,,,,,,,,
,,beachbar_lvl3,EggSandwich,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,22,Tar Bucket,22,Hammer,22,23,,,,,,,,,,,,
,,beachbar_lvl3,GreenSmoothie,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,23,Tar Bucket,23,Hammer,23,24,,,,,,,,,,,,
,,beachbar_lvl3,BerrySmoothie,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,24,Tar Bucket,24,Hammer,24,25,,,,,,,,,,,,
,,beachbar_lvl3,YogurtSmoothie,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,25,Tar Bucket,25,Hammer,25,26,,,,,,,,,,,,
,,beachbar_lvl3,Lobster Skewer,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,26,Tar Bucket,26,Hammer,26,27,,,,,,,,,,,,
,,beachbar_lvl3,SunHat,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,27,Tar Bucket,27,Hammer,27,28,,,,,,,,,,,,
,,beachbar_lvl3,Lobster Pasta,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,28,Tar Bucket,28,Hammer,28,29,,,,,,,,,,,,
,,beachbar_lvl3,Fruit Salad,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,29,Tar Bucket,29,Hammer,29,30,,,,,,,,,,,,
,,beachbar_lvl3,Peach Ice Cream,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,30,Tar Bucket,30,Hammer,30,31,,,,,,,,,,,,
,,beachbar_lvl3,MixedSmoothie,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,31,Tar Bucket,31,Hammer,31,32,,,,,,,,,,,,
,,beachbar_lvl3,Summer Salad,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,32,Tar Bucket,32,Hammer,32,33,,,,,,,,,,,,
,,beachbar_lvl3,Ice Tea,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,33,Tar Bucket,33,Hammer,33,34,,,,,,,,,,,,
,,beachbar_lvl3,BananaLatte,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,34,Tar Bucket,34,Hammer,34,35,,,,,,,,,,,,
,,beachbar_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,35,Tar Bucket,35,Hammer,35,36,,,,,,,,,,,,
,,beachbar_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,36,Tar Bucket,36,Hammer,36,37,,,,,,,,,,,,
,,beachbar_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,37,Tar Bucket,37,Hammer,37,38,,,,,,,,,,,,
,,beachbar_lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift shop,sc/train_buildings.sc,souvenier_shop_lvl1,Diamond Ring,100,0,5,6,shop_icon_souvenier_lvl1,sc/train_icons.sc,repairsmoke_02,0,3,3,67000,30,2400,0,91,TID_TRAIN_GIFTSHOP,TID_TRAIN_GIFTSHOP_DESC,ServiceBuildingTap,ServiceBuildingTap,Collect,Buy,,Stone Block,1,Tar Bucket,1,Hammer,1,2,1,0,0,0,2,3,4,2,2,11,30,100
,,souvenier_shop_lvl2,Necklace,,,,,,,,,,,,,,,,,,,,,,,Stone Block,2,Tar Bucket,2,Hammer,2,3,2,5,5,5,,,,,,,,
,,souvenier_shop_lvl2,IronBracelet,,,,,,,,,,,,,,,,,,,,,,,Stone Block,3,Tar Bucket,3,Hammer,3,4,3,10,10,10,,,,,,,,
,,souvenier_shop_lvl3,Bracelet,,,,,,,,,,,,,,,,,,,,,,,Stone Block,4,Tar Bucket,4,Hammer,4,5,4,15,15,15,,,,,,,,
,,souvenier_shop_lvl3,Violet Dress,,,,,,,,,,,,,,,,,,,,,,,Stone Block,5,Tar Bucket,5,Hammer,5,6,5,20,20,20,,,,,,,,
,,souvenier_shop_lvl3,Wooly Pants,,,,,,,,,,,,,,,,,,,,,,,Stone Block,6,Tar Bucket,6,Hammer,6,7,6,25,25,25,,,,,,,,
,,souvenier_shop_lvl3,Red Scarf,,,,,,,,,,,,,,,,,,,,,,,Stone Block,7,Tar Bucket,7,Hammer,7,8,,30,30,30,,,,,,,,
,,souvenier_shop_lvl3,Cotton Shirt,,,,,,,,,,,,,,,,,,,,,,,Stone Block,8,Tar Bucket,8,Hammer,8,9,,35,35,35,,,,,,,,
,,souvenier_shop_lvl3,Blue Sweater,,,,,,,,,,,,,,,,,,,,,,,Stone Block,9,Tar Bucket,9,Hammer,9,10,,40,40,40,,,,,,,,
,,souvenier_shop_lvl3,Sweater,,,,,,,,,,,,,,,,,,,,,,,Stone Block,10,Tar Bucket,10,Hammer,10,11,,45,45,,,,,,,,,
,,souvenier_shop_lvl3,Blue Woolly Hat,,,,,,,,,,,,,,,,,,,,,,,Stone Block,11,Tar Bucket,11,Hammer,11,12,,50,50,,,,,,,,,
,,souvenier_shop_lvl3,Cotton Fabrics,,,,,,,,,,,,,,,,,,,,,,,Stone Block,12,Tar Bucket,12,Hammer,12,13,,55,55,,,,,,,,,
,,souvenier_shop_lvl3,Wool,,,,,,,,,,,,,,,,,,,,,,,Stone Block,13,Tar Bucket,13,Hammer,13,14,,60,60,,,,,,,,,
,,souvenier_shop_lvl3,Cotton,,,,,,,,,,,,,,,,,,,,,,,Stone Block,14,Tar Bucket,14,Hammer,14,15,,,,,,,,,,,,
,,souvenier_shop_lvl3,Beeswax,,,,,,,,,,,,,,,,,,,,,,,Stone Block,15,Tar Bucket,15,Hammer,15,16,,,,,,,,,,,,
,,souvenier_shop_lvl3,Strawberry Candle,,,,,,,,,,,,,,,,,,,,,,,Stone Block,16,Tar Bucket,16,Hammer,16,17,,,,,,,,,,,,
,,souvenier_shop_lvl3,Raspberry Candle,,,,,,,,,,,,,,,,,,,,,,,Stone Block,17,Tar Bucket,17,Hammer,17,18,,,,,,,,,,,,
,,souvenier_shop_lvl3,Lemon Candle,,,,,,,,,,,,,,,,,,,,,,,Stone Block,18,Tar Bucket,18,Hammer,18,19,,,,,,,,,,,,
,,souvenier_shop_lvl3,Pillow,,,,,,,,,,,,,,,,,,,,,,,Stone Block,19,Tar Bucket,19,Hammer,19,20,,,,,,,,,,,,
,,souvenier_shop_lvl3,Blanket,,,,,,,,,,,,,,,,,,,,,,,Stone Block,20,Tar Bucket,20,Hammer,20,21,,,,,,,,,,,,
,,souvenier_shop_lvl3,ClocheHat,,,,,,,,,,,,,,,,,,,,,,,Stone Block,21,Tar Bucket,21,Hammer,21,22,,,,,,,,,,,,
,,souvenier_shop_lvl3,TopHat,,,,,,,,,,,,,,,,,,,,,,,Stone Block,22,Tar Bucket,22,Hammer,22,23,,,,,,,,,,,,
,,souvenier_shop_lvl3,SunHat,,,,,,,,,,,,,,,,,,,,,,,Stone Block,23,Tar Bucket,23,Hammer,23,24,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,24,Tar Bucket,24,Hammer,24,25,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,25,Tar Bucket,25,Hammer,25,26,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,26,Tar Bucket,26,Hammer,26,27,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,27,Tar Bucket,27,Hammer,27,28,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,28,Tar Bucket,28,Hammer,28,29,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,29,Tar Bucket,29,Hammer,29,30,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,30,Tar Bucket,30,Hammer,30,31,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,31,Tar Bucket,31,Hammer,31,32,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,32,Tar Bucket,32,Hammer,32,33,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,33,Tar Bucket,33,Hammer,33,34,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,34,Tar Bucket,34,Hammer,34,35,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,35,Tar Bucket,35,Hammer,35,36,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,36,Tar Bucket,36,Hammer,36,37,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Stone Block,37,Tar Bucket,37,Hammer,37,38,,,,,,,,,,,,
,,souvenier_shop_lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
