Name,Mode,TID,TID2,RequiredTutorial,AnimationExportName,AnimationTitleTID,ConfirmButtonTID,FileName,HumanExportName,DelayMS,AutoCompleteOtherTutorial,ReplayTutorial,Target,ShopTarget,Action,StartAction,EndAction,RequiredCount,CameraPanning,MinExpLevel10,MaxExpLevel10,MinRepLevel,Priority,PeopleOrder,ArrowXOffset,ArrowYOffset,GoodReward,NetReward,PositionX,PositionY,Disabled,TargetData
Step117d: Derby opt out,home,TID_TUTORIAL_NEIGHBORHOOD_DERBY7,,Step117c: Derby leagues 2,,,,sc/humans.sc,scarecrow,,,,Derby,,,,,,,180,,,124,,,,,,,,,
Step118a: Champion league,home,TID_DERBY_LEADERBOARD_TUTORIAL1,,Step117d: Derby opt out,,,,sc/humans.sc,scarecrow,,,,Derby,,,InChampionLeague,,,,,,,125,,,,,,,,,
Step118b: Champion league,home,TID_DERBY_LEADERBOARD_TUTORIAL2,,Step118a: Champion league,,,,sc/humans.sc,scarecrow,,,,Derby,,,InChampionLeague,,,,,,,126,,,,,,,,,
Step118c: Champion league,home,TID_DERBY_LEADERBOARD_TUTORIAL3,,Step118b: Champion league,,,,sc/humans.sc,scarecrow,,,,Derby,,,InChampionLeague,,,,,,,127,,,,,,,,,
Step118d: Champion league,home,TID_DERBY_LEADERBOARD_TUTORIAL4,,Step118c: Champion league,,,,sc/humans.sc,scarecrow,,,,Derby,,,InChampionLeague,,,,,,,128,,,,,,,,,
Step119: Glowing layout editor info button,home,,,,,,,sc/humans.sc,scarecrow,,,,InfoButton,,OpenInfo,,,,,250,259,,129,,,,,,,,,
Step120: Helper intro,home,TID_TUTORIAL_HELPER_1,,,,,,sc/humans.sc,scarecrow,,,,HelperHouse,,,,,,,330,,,130,,,,,,25,-9,,
Step121: Helper 1,home,TID_TUTORIAL_HELPER_2,,Step120: Helper intro,,,,sc/humans03.sc,popup_helper_caretaker,,,,HelperHouse,,,,,,,330,,,131,,,,,,25,-9,,
Step122: Helper 2,home,TID_TUTORIAL_HELPER_3,,Step121: Helper 1,,,,sc/humans03.sc,popup_helper_miller,,,,HelperHouse,,,,,,,330,,,132,,,,,,25,-9,,
Step123: Helper info button,home,,TID_TUTORIAL_HELPER_3a,Step122: Helper 2,,,,,,,,,HelperHouse,,OpenHelperInfo,,,,,330,,,133,,-150,,,,25,-9,true,
Step124: Helper storage,home,TID_TUTORIAL_HELPER_4,,Step122: Helper 2,,,,sc/humans.sc,scarecrow,,,,HelperHouse,,,,,,,330,,,134,,,,,,25,-9,,
Step125: Helper crops,home,TID_TUTORIAL_HELPER_5,,Step124: Helper storage,,,,sc/humans03.sc,popup_helper_caretaker,,,,HelperHouse,,,,,,,330,,,135,,,,,,25,-9,,
Step126: Boosters unlocked,home,TID_BOOSTER_TUTORIAL_1,,,,,,sc/humans.sc,scarecrow,,,,,,,CloseFriendBar,,,,350,,,137,,,,,,,,,
Step127: Boosters activate booster,home,,TID_BOOSTER_TUTORIAL_1a,Step126: Boosters unlocked,,,,sc/humans.sc,scarecrow,,,,BoosterButton,,ActivateBooster,ScrollToBoyBoxCloseFriendBar,,,,350,,,139,,,-20,,,25,33,,FreeTom_lv1
Step128: Boosters booster activated,home,TID_BOOSTER_TUTORIAL_3,,Step127: Boosters activate booster,,,,sc/humans.sc,scarecrow,,,,,,,,,,,350,,,140,,,,,,25,33,,
Step129: Boosters more info,home,TID_BOOSTER_TUTORIAL_2,,Step128: Boosters booster activated,,,,sc/humans.sc,scarecrow,,,,,,,,,,,350,,,141,,,,,,25,33,,
Step130: Boosters more info,home,TID_BOOSTER_TUTORIAL_2_2,,Step129: Boosters more info,,,,sc/humans.sc,scarecrow,,,,,,,,,,,350,,,141,,,,,,25,33,,
Step131: Repair book stand,train,,TID_SANCTUARY_TUTORIAL_1,,,,,sc/humans.sc,scarecrow,,,,BookStandBroken,,TouchTarget,,,,,340,,3,142,,-30,-100,,,32,6,,
Step132: Book stand repaired,train,TID_SANCTUARY_TUTORIAL_2,,Step131: Repair book stand,,,,sc/humans.sc,scarecrow,,,,BookStand,,,,,,,340,,3,143,,-30,-100,,,32,6,,
Step133: Open book,train,,TID_SANCTUARY_TUTORIAL_3,Step132: Book stand repaired,,,,sc/humans.sc,scarecrow,,,,BookStand,,TouchTarget,,,,,340,,3,144,,50,-100,,,32,6,,
Step134: Place animal house,train,,TID_SANCTUARY_TUTORIAL_4,Step133: Open book,,,,sc/humans.sc,scarecrow,,,,BookStand,,PlaceAnimalHouse,,,,,340,,3,145,,,,,,32,6,,
Step135: First animal,train,,TID_SANCTUARY_TUTORIAL_5,Step134: Place animal house,,,,sc/humans.sc,scarecrow,,,,AnimalHouse,,WaitAnimalToSpawn,,,,,340,,3,146,,,,,,,,,
Step136: Sanctuary info 1,train,TID_SANCTUARY_TUTORIAL_6,,Step135: First animal,,,,sc/humans.sc,scarecrow,,,,,,,,,,,340,,3,147,,,,,,,,,
Step137: Sanctuary info 2,train,TID_SANCTUARY_TUTORIAL_7,,Step136: Sanctuary info 1,,,,sc/humans.sc,scarecrow,,,,,,,,,,,340,,3,148,,,,,,,,,
Step138: Sanctuary info 3,train,TID_SANCTUARY_TUTORIAL_8,,Step137: Sanctuary info 2,,,,sc/humans.sc,scarecrow,,,,,,,,,,,340,,3,149,,,,,,,,,
