Name,SWF,ExportName,ParticleEmitter,EmitterProbability,EmitterDelayMs,EmitterOffsetX,EmitterOffsetY,CameraShake,AttachToParent,Looping,IsoLayer,Targeted,MaxCount,RemoveWhenSourceDies,Sound,EnableOnlyWhenInView,DisableFromLowGFX
,,,map_chest_anim,,,,,,,,,,,,,,
Open Ship Chest Effect,,,Impact_02,,,,,,,,top,,,,Tap Chest,,
,,,impact_01,,,,,,,,,,,,,,
,,,combo_explode_red_01,,,,,,,,,,,,,,
,,,yellow_star_explode_A,,,,,,,,,,,,,,
,,,ship_chest_anim,,,,,,,,,,,,,,
Move Bush,,,,,,,,,,,,,,,Bush Laugh,,
Bush Take Damage,,,,,,,,,,,,,,,Bush Take Damage,,
Rank Up Effect0,,,yellow_star_explode__full_screen,,1500,,,,,,top,,,,,,
,,,blue_star_explode_full_screen,,1500,,,,,,top,,,,,,
,,,yellow_star_explode_sml_full_screen,,1500,,,,,,top,,,,,,
Rank Up Effect1,,,yellow_star_diag_swoosh,,0,-150000,40000,,,,top,,,,,,
Rank Up Effect2,,,yellow_star_diag_swoosh,,200,-150000,60000,,,,top,,,,,,
Rank Down Effect,,,yellow_star_fall,,800,,-10000,,,,top,,,,,,
,,,confetti_lose_white,,200,,,,,,top,,,,,,
Barrel bust,,,barrel_bust_top,,,,,,,,top,,,,Bonusbarrelhit,,
,,,barrel_bust_rim,,,,,,,,,,,,,,
,,,barrel_bust_w_1,,,,,,,,,,,,,,
,,,barrel_bust_w_2,,,,,,,,,,,,,,
,,,barrel_bust_w_3,,,,,,,,,,,,,,
,,,barrel_bust_w_2b,,,,,,,,,,,,,,
,,,barrel_bust_w_3b,,,,,,,,,,,,,,
Barrel Dust,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,,,
,,,barrel_smoke,,,,,,,,,,,,,,
Lucky Strike Effect,,,double_dmg_fx,,,,,,,,top,,,,Doubledamage,,
Shield Appear Effect,,,shield_appear,,,,,,TRUE,,top,,,,Wizshield,,
Shield Disappear Effect,,,shield_disappear,,,,,,TRUE,,top,,,,Hitshield,,
Mummy Reduce Combo Counter,,,minus_combo1,,,,,,,,top,,,,,,
IncreaseComboCounter1,,,plus_combo1,,,,,,,,top,,,,Get Combo Plus 1,,
IncreaseComboCounter2,,,plus_combo2,,,,,,,,top,,,,Get Combo Plus 2,,
IncreaseComboCounter3,,,plus_combo3,,,,,,,,top,,,,Get Combo Plus 3,,
IncreaseComboCounter4,,,plus_combo4,,,,,,,,top,,,,Get Combo Plus 4,,
IncreaseComboCounter5,,,plus_combo5,,,,,,,,top,,,,Get Combo Plus 5,,
IncreaseComboCounterMax,,,plus_combo_max,,,,,,,,top,,,,Get Combo Plus Full,,
Crown Earned Effect,,,yellow_star_explode__full_screen,,,,,,,,,,,,Get Crown,,
,,,blue_star_explode_full_screen,,,,,,,,,,,,,,
,,,yellow_star_explode_sml_full_screen,,,,,,,,,,,,,,
Orbs Rewarded Effect,,,yellow_star_explode__full_screen,,,,,,,,,,,,Life orb jingle,,
,,,blue_star_explode_full_screen,,,,,,,,,,,,,,
,,,yellow_star_explode_sml_full_screen,,,,,,,,,,,,,,
WaterSplash1,,,water_emitter,,,,,,,,top,,20,,,,
,,,water_ring,,,,,,,,top,,,,,,
WaterSplash2,,,water_emitter_big,,,,,,,,top,,20,,,,
,,,water_ring_big,,,,,,,,top,,,,,,
CloudSplash1,,,cloud_emitter,,,,,,,,top,,20,,,,
,,,cloud_emitter2,,,,,,,,top,,20,,,,
SingleSlingCongrats,,,single_sling_emitter1,,,,,,,,top,,1,,New Record,,
,,,single_sling_pop,,,,,,,,,,,,,,
SingleSlingCongratsLastLevel,,,single_sling_emitter1,,,,,,,,top,,1,,,,
,,,single_sling_pop,,,,,,,,,,,,,,
Owl Lazer,,,owl_lazer,,,,-6000,,,,top,,,,Owl Laser,,
,,,princess_specialAttack_strikes,,,,,,,,,,,,,,
,,,Impact_02,,,,,,,,,,,,,,
,,,take_damage,,,,,,,,,,,,,,
Bush Die,,,pop_die,,,,,,,,top,,50,,Small Bushdie,,
Beehive Die,,,pop_die,,,,,,,,top,,,,Beehive Die,,
Lazer Owl Take Damage,,,,,,,,,,,top,,,,Hit Owl,,
Lazer Owl Fly,,,,,,,,,,,,,,,Owl Fly,,
Yeti Ice Storm,,,yeti_ice_spikeA,,,,,20,,,ground,,30,,Yeti Ice Storm,,
,,,ice_stone_bounce,,,,,,,,,,,,,,
,,,ice_stone_bounce2,,,,,,,,,,,,,,
,,,ice_stone_bounce3,,,,,,,,,,,,,,
Electric Storm,,,yeti_ice_spikeA,,,,,20,,,ground,,30,,Yeti Ice Storm,,
,,,ice_stone_bounce,,,,,,,,,,,,,,
,,,ice_stone_bounce2,,,,,,,,,,,,,,
,,,ice_stone_bounce3,,,,,,,,,,,,,,
Space Laser,,,space_girl_lazer,,,,,150,,,top,,,,,,
Dynamite Spawn,,,,,,,,,,,,,,,Barrel dynamite,,
HeartAppear,,,,,,,,,,,,,,,Heartappear,,
BarrelNastyspawn,,,,,,,,,,,,,,,Nastyspawn,,
Wizard Fireball Hit Blue,,,fireball_explosion_smoke_shadow,,,,,100,,,top,,,,Mushboss impact,,
,,,fireball_specialAttack_strikes,,,,,,,,,,,,,,
,,,impact_attack1,,,,,,,,,,,,,,
,,,impact_attack2,,,,,,,,,,,,,,
,,,impact_attack,,,,,,,,,,,,,,
,,,fireball_impact_stone_blue,,,,,,,,,,,,,,
,,,fireball_impact_stone1_blue,,,,,,,,,,,,,,
,,,fireball_impact_stoneBounce_blue,,,,,,,,,,,,,,
,,,fireball_impact_stoneBounce2_blue,,,,,,,,,,,,,,
,,,fireball_explosion_smoke1_blue,,,,,,,,,,,,,,
,,,fireball_ground_dark_blue,,100,,,,,,,,,,,,
,,,Impact_02,,,,,,,,,,,,,,
,,,fireball_stone_explosion_blue,,,,,,,,,,,,,,
aBoy Special Hit,,,aBoy_specialAttack_strikes,,,,,50,,,top,,,,,,
,,,aBoy_specialAttack_sparks,,,,,,,,,,,,,,
,,,red_star_explode_A,,,,,,,,,,,,,,
,,,aBoy_specialImpact,,,,,,,,,,,,,,
,,,red_star_explode_sml,,,,,,,,,,,,,,
SpellAppear,,,spell_impact,,,,,,,,objects,,,,,,
,,,Impact_02,,,,,,,,,,,,,,
,,,aBoy_specialAttack_strikes,,,,,,,,,,,,,,
SpellCollect,,,spell_collect_anim,,,,,,,,top,,,,,,
,,,implode_ring,,,,,,,,,,,,,,
,,,implode_ring2,,,,,,,,,,,,,,
,,,Impact_02,,,,,,,,,,,,,,
,,,implode_red_01,,,,,,,,,,,,,,
Tnt Special Impact,,,tnt_explosion_palse,,0,,,35,,,ground,,50,,Mushboss impact,,
Tnt Special Attack,,,mushroom_attack_shadow,,460,,,80,,,top,,50,,Mushroom attack,,
,,,mushroom_attack_smoke,,,,,,,,,,,,,,
,,,flickEffect_smoke_shadow,,,,,,,,,,,,,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
,,,impact_attack1,,,,,,,,,,,,,,
,,,impact_attack2,,,,,,,,,,,,,,
,,,impact_stoneBounce2,,,,,,,,,,,,,,
,,,impact_stoneBounce,,,,,,,,,,,,,,
Spell used,,,,,,,,,,,,,,,Spell appear,,
Spell appear,,,,,,,,,,,,,,,Spell land,,
EQ Storm,,,lightning_strike_spell,,,,,20,,,top,,30,,Life lightning,,
,,,stone_bounce_small1,,1200,,,,,,ground,,,,,,
,,,stone_bounce_small2,,1200,,,,,,ground,,,,,,
,,,flickEffect_smoke,,1200,,,,,,ground,,,,,,
Grow Spell,,,spell_collect_anim,,,,,,,,top,,,,Life grow spell,,
,,,implode_ring,,,,,,,,,,,,,,
,,,implode_ring2,,,,,,,,,,,,,,
,,,Impact_02,,,,,,,,,,,,,,
,,,implode_red_01,,,,,,,,,,,,,,
Hearth Spell,,,spell_collect_anim,,,,,,,,top,,,,Life health spell,,
,,,implode_ring,,,,,,,,,,,,,,
,,,implode_ring2,,,,,,,,,,,,,,
,,,Impact_02,,,,,,,,,,,,,,
,,,implode_red_01,,,,,,,,,,,,,,
Cube Big Hit 1,,,ice_cube_break_01,,,,,,TRUE,,top,,1,,Ice Hit Big,,
Cube Big Hit 2,,,ice_cube_break_02,,,,,,TRUE,,top,,1,,Ice Hit Big,,
Cube Big Hit 3,,,ice_cube_break_03,,,,,,TRUE,,ground,,1,,Ice Hit Big,,
,,,ice_stone_bounce_big,,,,,,,,,,,,,,
Cube Die,,,,,,,,,,,,,,,Cube Die,,
Spell Cube Die 1,,,impact_ice_1,,,,,,,,ground,,10,,Spell Cube Die,,
,,,impact_ice_2,,,,,,,,,,,,,,
Spell Cube Hit 1,,,impact_ice_1,,,,,,,,ground,,10,,Spell Cube Hit,,
,,,impact_ice_2,,,,,,,,,,,,,,
Place Spell Cubes,,,,,,,,,,,top,,10,,Place Spell Cubes,,
Use Freeze Spell,,,,,,,,,,,,,,,Use Freeze Spell,,
Ice Hit 1,,,impact_ice_1,,,,,,,,ground,,10,,Ice Hit,,
,,,impact_ice_2,,,,,,,,,,,,,,
Snowman Attack 1,,,impact_attack_ice1,,,,,,,,ground,,10,,,,
,,,impact_attack_iceRing1,,,,,,,,,,,,,,
,,,impact_attack1,,,,,,,,,,,,,,
Snowman Attack 2,,,impact_attack_ice2,,,,,,,,ground,,10,,,,
,,,impact_attack_iceRing2,,,,,,,,,,,,,,
,,,impact_attack1,,,,,,,,,,,,,,
Snowman Attack 3,,,impact_attack_ice3,,,,,,,,ground,,10,,,,
,,,impact_attack_iceRing3,,,,,,,,,,,,,,
,,,impact_attack1,,,,,,,,,,,,,,
Snowman Death 1,,,snowman_drop_01,,,,,,,,top,,10,,Snowman Die,,
Snowman Death 2,,,snowman_drop_02,,,,,,,,top,,10,,Snowman Die,,
Snowman Attack,,,tree_smoke_shadow,,,,,50,,,ground,,10,,Snowman Land,,
,,,tree_smoke,,,,,,,,,,,,,,
Snowman Jump,,,,,,,,,,,ground,,,,Snowman Attack,,
Move Ice Bucket,,,,,,,,,,,,,,,Move Ice Bucket,,
