"Name","HousingSpace","UnlockTownHallLevel","UpgradeHouseLevel","Speed","Hitpoints","TrainingTime","TrainingCost","UpgradeTimeH","UpgradeCost","MaxAttackRange","AttackRange","AttackRate","ReloadTime","ShotsBeforeReload","LaserDistance","Damage","LifeLeech","AttackSpread","AttackDistanceOffsetPercent","DamageOverFiveSeconds","DamageRadius","FriendlyFire","BoostTimeMs","SpeedBoost","ArmorBoost","DamageBoost","Energy","IsNpc","CanAttackWhileWalking","TurnTowardsTarget","XpGain","TID","InfoTID","SubtitleTID","FlavorTID","SWF","SpeedTID","AttackRangeTID","IconSWF","IconExportName","BigPictureSWF","BigPicture","Projectile","DeployEffect","AttackEffect","AttackEffect2","AttackEffect3","HitEffect","HitEffect2","DisembarkEffect","DieEffect","Animation","AnimationEnemy","MissEffect","Footstep","MoveLoopSound","PatrolRadius","CombatSetupTimeMs","CombatTeardownTimeMs","CombatTeardownDelayMs","Flying","Hero","SizeClass"
"Sergeant",20,1,1,300,400,60,20,2,9500,300,0,1000,,,,0,,0,,,550,,1000,50,50,50,0,"TRUE","TRUE","FALSE",14,"TID_RIFLEMAN","TID_RIFLEMAN_INFO","TID_RIFLEMAN_SUBTITLE","TID_RIFLEMAN_FLAVOR","sc/units.sc","TID_MODERATE","TID_MEDIUM","sc/ui.sc","icon_assault_troop","sc/tutorial.sc","unit_assault_troop",,"Troop Deploy Assault Troop","Assault Troop Attack","Attack Small Ground Flash",,"Assault Troop Hit",,"Assault Troop Disembark","Assault Troop Die","Assault Troop","Assault Troop BG",,"Rifleman step","sfx/assault_unit_move_loop_01.wav",,,,,,,
"Freezer",4,20,20,250,700,480,7000,100,7400000,,600,75,2000,12,3840,95,,50,,,100,"TRUE",5000,-50,,,0,,,"TRUE",100,"TID_FREEZER","TID_FREEZER_INFO","TID_FREEZER_SUBTITLE","TID_FREEZER_FLAVOR_1;TID_FREEZER_FLAVOR_2;TID_FREEZER_FLAVOR_3;TID_FREEZER_FLAVOR_4;TID_FREEZER_FLAVOR_5;TID_FREEZER_FLAVOR_6;TID_FREEZER_FLAVOR_7;TID_FREEZER_FLAVOR_8;TID_FREEZER_FLAVOR_9;TID_FREEZER_FLAVOR_10;TID_FREEZER_FLAVOR_11;TID_FREEZER_FLAVOR_12;TID_FREEZER_FLAVOR_13;TID_FREEZER_FLAVOR_14;TID_FREEZER_FLAVOR_15;TID_FREEZER_FLAVOR_16;TID_FREEZER_FLAVOR_17;TID_FREEZER_FLAVOR_18;TID_FREEZER_FLAVOR_19;TID_FREEZER_FLAVOR_20;TID_FREEZER_FLAVOR_21;TID_FREEZER_FLAVOR_22;TID_FREEZER_FLAVOR_23;TID_FREEZER_FLAVOR_24;TID_FREEZER_FLAVOR_25;TID_FREEZER_FLAVOR_26;TID_FREEZER_FLAVOR_27;TID_FREEZER_FLAVOR_28;TID_FREEZER_FLAVOR_29;TID_FREEZER_FLAVOR_30;TID_FREEZER_FLAVOR_31","sc/units.sc","TID_MODERATE","TID_MEDIUM","sc/ui.sc","icon_unit_freezer","sc/tutorial.sc","unit_freezer",,"Troop Deploy Assault Troop","freezeray","freezeray_start","Freezer_fire_sound","freezeray_hit","freezeray_hit_ground","Freezer Troop Disembark","Freezer Troop Die","Freezer","Freezer_BG",,"Zooka step","sfx/bazooka_unit_move_01.wav",,,,,,,1
,,,20,,763,,8000,102,7600000,,,,,,4096,100,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,832,,9000,104,7800000,,,,,,4352,105,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,907,,10000,106,8000000,,,,,,4608,110,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,988,,11000,108,8200000,,,,,,4864,115,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,1077,,12000,110,8400000,,,,,,5120,121,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21,,1174,,13000,112,8600000,,,,,,5376,127,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22,,1280,,14000,114,8800000,,,,,,5632,134,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DroneBat",1,1,1,400,400,60,20,2,9500,,90,500,,,,135,,0,,,,,,,,,0,"TRUE",,"TRUE",14,"TID_RIFLEMAN","TID_RIFLEMAN_INFO","TID_RIFLEMAN_SUBTITLE","TID_RIFLEMAN_FLAVOR","sc/units.sc","TID_MODERATE","TID_MELEE","sc/ui.sc","icon_unit_barbarian","sc/tutorial.sc","unit_assault_troop",,"Troop Deploy Assault Troop","Decoy Attack",,,"Assault Troop Hit",,,"Drone Die","Decoy_Drone_Bat","Decoy_Drone_Bat",,"Drone step","sfx/drone_loop_01.wav",,,,,"true",,
"HeroDrillSergeant",1,1,,220,1000,60,500,6,25000,,720,75,1875,15,,110,,0,,,,,,,,,0,,,"TRUE",0,"TID_HERODRILLSERGEANT","TID_HERODRILLSERGEANT_INFO","TID_HERODRILLSERGEANT_SUBTITLE","TID_HERODRILLSERGEANT_FLAVOR","sc/units.sc","TID_MODERATE","TID_MEDIUM","sc/ui.sc","icon_hero_sergeant","sc/tutorial.sc","hero_sergeant","Machine Gun Ammo 2","Troop Deploy Assault Troop","Sergeant Attack","Sergeant Attack2","Sergeant Attack3","Assault Troop Hit",,"Hero Sgt Disembark","Assault Troop Die","HeroDrillSergeant","HeroDrillSergeant",,"Rifleman step","sfx/assault_unit_move_loop_01.wav",,,,,,"DrillSergeant",2
,,4,,,1080,,1000,7,38000,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,1170,,1500,9,82000,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,1260,,2000,11,156000,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,1360,,2500,13,248000,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,1470,,3000,16,432000,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,1590,,3500,18,643000,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,1710,,4000,18,643000,,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,1850,,4500,20,912000,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,2000,,5000,20,912000,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,2160,,5500,22,1134000,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,,2330,,6000,25,1652000,,,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,,,2520,,6500,27,2160000,,,,,,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,,,2720,,7000,27,2160000,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,,,2940,,7500,27,2160000,,,,,,,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,,,3170,,8000,31,3020000,,,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,,,3430,,8500,34,4100000,,,,,,,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,,,3700,,9000,34,4100000,,,,,,,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,,,4000,,9500,37,5080000,,,,,,,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,,,4320,,10000,39,5780000,,,,,,,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,,,4660,,10500,41,6900000,,,,,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,,,5030,,11000,43,7690000,,,,,,,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HeroMechromancer",1,1,,220,1500,60,5500,27,903000,,1050,800,1000,1,,360,,0,,,70,,,,,,0,,"TRUE","TRUE",0,"TID_HEROMECHROMANCER","TID_HEROMECHROMANCER_INFO","TID_HEROMECHROMANCER_SUBTITLE","TID_HEROMECHROMANCER_FLAVOR","sc/units.sc","TID_MODERATE","TID_LONG","sc/ui.sc","icon_hero_mechromancer","sc/tutorial.sc","hero_mechromancer",,"Troop Deploy Assault Troop","Mechnomancer Attack","Mechnomancer Attack2",,"Mechnomancer Sparkle","Shocked","Mechromancer Disembark","Freezer Troop Die","HeroMechromancer","HeroMechromancer",,"Rifleman step","sfx/assault_unit_move_loop_01.wav",,,,,,"Mechromancer",2
,,15,,,1590,,6000,27,1124000,,,,,,,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,,,1690,,6500,27,1637000,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,,,1790,,7000,31,2140000,,,,,,,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,,,1890,,7500,34,2996000,,,,,,,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,,,2010,,8000,34,3680000,,,,,,,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,,,2130,,8500,34,4066000,,,,,,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,,,2260,,9000,37,4880000,,,,,,,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,,,2390,,9500,39,5486000,,,,,,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,,,2530,,10000,39,5920000,,,,,,,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,,,2690,,10500,41,6380000,,,,,,,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,,,2850,,11000,41,6840000,,,,,,,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,,,3020,,11500,43,7620000,,,,,,,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SuperRifleman",1,1,1,290,12500,60,20,2,10000,,470,100,,,,1200,,0,,,,,,,,,0,"TRUE",,"TRUE",14,"TID_RIFLEMAN","TID_RIFLEMAN_INFO","TID_RIFLEMAN_SUBTITLE","TID_RIFLEMAN_FLAVOR","sc/units.sc","TID_MODERATE","TID_MEDIUM","sc/ui.sc","icon_assault_troop","sc/tutorial.sc","unit_assault_troop","Machine Gun Ammo","Supersoldier Disembark","Assault Troop Attack","Attack Small Ground Flash","Supersoldier Disembark","Assault Troop Hit",,"Supersoldier Disembark","Assault Troop Die","Assault Troop BG","Assault Troop BG",,"Rifleman step","sfx/assault_unit_move_loop_01.wav",,,,,,,1
"SuperMedic",5,1,1,270,25000,60,20,2,10000,800,400,600,,,,-240,,0,,,300,,2000,25,,25,0,"TRUE","TRUE","TRUE",83,"TID_MEDIC","TID_MEDIC_INFO","TID_MEDIC_SUBTITLE","TID_MEDIC_FLAVOR","sc/units.sc","TID_MODERATE","TID_SHORT","sc/ui.sc","icon_unit_healer","sc/tutorial.sc","unit_medic_big","HealerAmmo","Supersoldier Disembark",,,"Supersoldier Disembark","Healer_area",,"Supersoldier Disembark","Healer Unit Die","Healer_BG","Healer_BG",,"Healer step","sfx/medic_move_loop_01.wav",,,,,,,1
"SuperWarrior",3,1,1,400,15000,60,20,2,10000,,90,800,,,,1600,650,0,,,100,,5000,-50,,,0,"TRUE",,"TRUE",42,"TID_WARRIOR","TID_WARRIOR_INFO","TID_WARRIOR_SUBTITLE","TID_WARRIOR_FLAVOR","sc/units.sc","TID_FAST","TID_MELEE","sc/ui.sc","icon_unit_barbarian","sc/tutorial.sc","unit_pistolunit_big",,"Supersoldier Disembark","Native Attack",,"Supersoldier Disembark","freezeray_hit","freezeray_hit_ground","Supersoldier Disembark","Demolition Troop Die","Native_Warrior BG","Native_Warrior BG",,"Warrior step","sfx/assault_unit_move_loop_01.wav",,,,,,,2
"SuperHeavy",4,1,1,230,43000,60,20,2,10000,650,300,100,,,,800,,260,,,100,,,,,,0,"TRUE","TRUE","TRUE",17,"TID_HEAVY","TID_HEAVY_INFO","TID_HEAVY_SUBTITLE","TID_HEAVY_FLAVOR","sc/units.sc","TID_MODERATE","TID_SHORT","sc/ui.sc","icon_heavy_gunner","sc/tutorial.sc","unit_heavy_gunner","Machine Gun Ammo","Supersoldier Disembark","Heavy Gunner Attack","Attack Ground Flash","Supersoldier Disembark","Heavy Gunner Hit",,"Supersoldier Disembark","Heavy Gunner Die","Heavy Gunner BG","Heavy Gunner BG","Machine Gun Hit","Heavy step","sfx/heavy_move_loop_01.wav",,,,,,,2
"SuperDrone",1,1,1,500,35000,60,20,2,10000,,90,100,,,,2200,,0,,,,,,,,,0,"TRUE",,"TRUE",14,"TID_RIFLEMAN","TID_RIFLEMAN_INFO","TID_RIFLEMAN_SUBTITLE","TID_RIFLEMAN_FLAVOR","sc/units.sc","TID_MODERATE","TID_MELEE","sc/ui.sc","icon_unit_barbarian","sc/tutorial.sc","unit_assault_troop",,"Supersoldier Disembark","Decoy Attack",,"Supersoldier Disembark","Assault Troop Hit",,"Supersoldier Disembark","Drone Die","Decoy_Drone_Bat","Decoy_Drone_BG",,"Drone step","sfx/drone_loop_01.wav",,,,,"true",,
"SuperGrenadier",6,1,1,250,35000,60,20,2,10000,,720,400,3000,6,,2600,,200,33,,320,"TRUE",,,,,0,"TRUE",,"TRUE",93,"TID_GRENADIER","TID_GRENADIER_INFO","TID_GRENADIER_SUBTITLE","TID_GRENADIER_FLAVOR","sc/units.sc","TID_MODERATE","TID_VERY_LONG","sc/ui.sc","icon_unit_grenadier","sc/tutorial.sc","unit_grenadier_big","Grenadier Ammo","Supersoldier Disembark","Grenadier Throwgrenade",,"Supersoldier Disembark","SuperGrenadier Grenade Explosion","Super_Bomb ground","Supersoldier Disembark","Grenadier Troop Die","Granadier_BG","Granadier_BG",,"Heavy step","sfx/bazooka_unit_move_01.wav",,,,,,,2
"HeroWitchDoctor",1,1,,270,800,60,500,15,360000,600,300,600,,,,-36,,0,,,300,,3000,,50,,0,,"TRUE","TRUE",0,"TID_HEROWITCHDOCTOR","TID_HEROWITCHDOCTOR_INFO","TID_HEROWITCHDOCTOR_SUBTITLE","TID_HEROWITCHDOCTOR_FLAVOR","sc/units.sc","TID_MODERATE","TID_SHORT","sc/ui.sc","icon_hero_witchdoctor","sc/tutorial.sc","hero_witchdoctor","MedicineManAmmo","Troop Deploy Assault Troop","WitchDoctor Atk",,,"Healer_area",,"WitchDoctor Disembark","Healer Unit Die","HeroWitchDoctor","HeroWitchDoctor",,"Healer step","sfx/medic_move_loop_01.wav",,,,,,"WitchDoctor",2
,,7,,,850,,1000,15,360000,,,,,,,-37,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,900,,1500,17,535500,,,,,,,-39,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,950,,2000,19,759600,,,,,,,-40,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,1010,,2500,19,759600,,,,,,,-42,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,1070,,3000,21,945000,,,,,,,-44,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,1130,,3500,23,1377000,,,,,,,-46,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,,1200,,4000,26,1800000,,,,,,,-47,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,,,1280,,4500,26,1800000,,,,,,,-49,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,,,1350,,5000,29,2520000,,,,,,,-51,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,,,1430,,5500,32,3420000,,,,,,,-53,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,,,1520,,6000,32,3420000,,,,,,,-55,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,,,1610,,6500,35,4230000,,,,,,,-58,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,,,1710,,7000,36,4815000,,,,,,,-60,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,,,1810,,7500,36,4815000,,,,,,,-62,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,,,1920,,8000,39,5751000,,,,,,,-65,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,,,2030,,8500,40,6408000,,,,,,,-67,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,,,2150,,9000,41,6858000,,,,,,,-70,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WitchDoctorDrone",1,1,1,400,2500,60,20,2,9500,250,150,400,,,,-30,,0,,,,,,,,,0,"TRUE","TRUE","TRUE",14,"TID_RIFLEMAN","TID_RIFLEMAN_INFO","TID_RIFLEMAN_SUBTITLE","TID_RIFLEMAN_FLAVOR","sc/units.sc","TID_MODERATE","TID_MELEE","sc/ui.sc","icon_unit_barbarian","sc/tutorial.sc","unit_assault_troop","CrystalCritterAmmo","WitchDoctorCritters",,,,"Healer_area",,,"Crystal Critter Break","Crystal_Drone","Crystal_Drone_BG",,"Drone step","sfx/drone_loop_01.wav",,,,,,,
